CAR;DATA DE CORTE;SAFRA
BA-2903904-FCC0F6D60FC34805A3FAEC5D1850AFF1;01/01/2014;2023/24
BA-2903904-FCC2DCA043D44062ACBEE23FE38C9A31;01/01/2010;2023/24
BA-2903904-FCDC840B16D54064A145E3D97A9283D8;01/01/2014;2023/24
BA-2903904-FCE8B02B68C14B938D2742BF72733378;01/01/2010;2023/24
BA-2903904-FCEDF2C8349845A4BAD86E4B0013DE9F;01/01/2014;2023/24
BA-2903904-FD114D32D3384EAA8A0EBCE60C8443F8;01/01/2010;2023/24
BA-2903904-FD261FED834943B48182F17CC90F08AF;01/01/2014;2023/24
BA-2903904-FD2BE3C0768D4798BB0CCC7AEFAA34C3;01/01/2010;2023/24
BA-2903904-FD3CE0E563924AF287A0CF09B5A156BE;01/01/2014;2023/24
BA-2903904-FD780437708C4501AF0A84335CF381E1;01/01/2010;2023/24