car;ano_elegibilidade;cultura
MT-5106372-5FB1C2B4BCBB4A0D9351B4212C1C06C1;2017;SOJA
MT-5107040-D8603A5CCA2246D2B8175DACD102F4C7;2018;SOJA
MT-5106372-807AEEAB9648438BBF089637DD3A8F08;2015;SOJA
MT-5104609-B8BB8BDE23284DD580A1074673459E78;2009;SOJA
MT-5102686-61A90167986E41779C9AA76F9845EE2F;2011;SOJA
MT-5104609-F3D19ACF753F41F589EF7D60A8399B97;2013;SOJA
MT-5106307-55B3BFAFC08E4E05950135D45A86B658;2015;SOJA
MT-5107065-36223F4242854B399261D0CAF7C6603A;2017;SOJA
MT-5104526-1DDAA6AD808142288B9FE783EA04501D;2019;SOJA
SP-3513108-4E6351F8FEFE4BFDA3F6668B4E88264B;2017;SOJA
SP-3513108-3D95528DEF5A4143AFB326C78104E8C6;2018;SOJA